certificateNo,certificateType,expirationDate,name,Type,flowType,certifyType,bankCard,Ename,identity,certigierCertificateNo,certigierName,externalSerialNo
120101198611079156,1,2021-05-16 09:00:00,旁俐,C,1,2,62291184558470810,延嘉汽车,93131082MA0861PY7A,310114197001232611,钟素洁,1
120101198611079156,1,2021-05-16 09:00:00,植聪慧,P,3,2,6212863830864255,,310114197001231571,訾从霜,1
120101198611072595,1,2021-05-16 09:00:00,哈妙双,P,2,1,6229115243479309,,310114197001239936,牛芸欣,1
12010119861107147X,1,2021-05-16 09:00:00,亓官易云,P,2,1,62128670769276010,,310114197001239338,甘梓馨,1
120101198611075315,1,2021-05-16 09:00:00,稽驰翰,P,2,1,6212864055731047,,310114197001230915,弘若珑,1
120101198611078014,1,2021-05-16 09:00:00,昌翠丝,P,1,1,6212864315638973,,310114197001233331,宓忆梅,1
120101198611077257,1,2021-05-16 09:00:00,伦绮晴,C,2,2,6232553619685206,中泽影业,92430105MA4ME9J49T,310114197001232793,索影梅,1
120101198611078014,1,2021-05-16 09:00:00,昌翠丝,P,3,1,6212864315638973,,310114197001233331,宓忆梅,1
12010119861107585X,1,2021-05-16 09:00:00,熊尔槐,P,1,1,6212869149926213,,310114197001235839,庾玄雅,1
120101198611070936,1,2021-05-16 09:00:00,蚁儿,C,1,2,6232556647319481,元康科技,914301007121984812,310114197001238757,蔚彤彤,1
120101198611071912,1,2021-05-16 09:00:00,通杰秀,P,1,2,6212868302667473,,310114197001233112,池千秋,1
120101198611075315,1,2021-05-16 09:00:00,稽驰翰,P,2,1,6212864055731047,,310114197001230915,弘若珑,1
120101198611078516,1,2021-05-16 09:00:00,进蕤,C,2,1,6232550100932062,昭山电气,92430105MA4ME9J49T,310114197001233833,段萍韵,1
120101198611079156,1,2021-05-16 09:00:00,植聪慧,P,3,2,6212863830864255,,310114197001231571,訾从霜,1
120101198611077193,1,2021-05-16 09:00:00,钟离凌蝶,P,1,2,6212868596703034,,310114197001231010,索巧风,1
120101198611075155,1,2021-05-16 09:00:00,卫采枫,C,1,1,6232553551785213,泰市医疗,914301007121984812,310114197001233235,董雨花,1
120101198611078532,1,2021-05-16 09:00:00,翁妙颜,P,1,1,62128691454016910,,310114197001237594,董丁辰,1
120101198611070397,1,2021-05-16 09:00:00,功宇航,P,2,2,54561954936533310,,31011419700123545X,欧巧茹,1
120101198611073774,1,2021-05-16 09:00:00,业念珍,C,2,2,6225805038922951,本宁汽车,92430105MA4ME9J49T,31011419700123801X,甘乐儿,1
120101198611072472,1,2021-05-16 09:00:00,富察傲松,P,3,1,5456191886006797,,310114197001231010,蒋语雪,1
120101198611076158,1,2021-05-16 09:00:00,实语雪,P,1,1,5456192080245562,,310114197001235652,熊暄婷,1
120101198611072296,1,2021-05-16 09:00:00,芮言,C,1,2,62258037781495610,泰城酒店集团,914301007121984812,310114197001238036,禄颖馨,1
